Date,Store,Department,net_sales,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end
2021-11-01,ABC,Beverages,254547.79901,917.0,0,0,0,1,1,0
2021-11-01,ABC,Grocery,437286.62402,2360.399,0,0,0,1,1,0
2021-11-01,ABC,Household,247336.26601,1043.0,0,0,0,1,1,0
2021-11-01,XYZ,Beverages,187931.76902,779.0,0,0,0,1,1,0
2021-11-01,XYZ,Grocery,491450.723,2987.06,0,0,0,1,1,0
2021-11-01,XYZ,Household,247156.009988,1124.0,0,0,0,1,1,0
2021-11-02,ABC,Beverages,277904.838,1140.0,1,0,0,2,0,0
2021-11-02,ABC,Grocery,582206.592985,3021.684,1,0,0,2,0,0
2021-11-02,ABC,Household,292020.462024,1195.0,1,0,0,2,0,0
2021-11-02,XYZ,Beverages,251330.13,922.0,1,0,0,2,0,0
2021-11-02,XYZ,Grocery,592195.489002,3623.716,1,0,0,2,0,0
2021-11-02,XYZ,Household,262403.349,1196.0,1,0,0,2,0,0
2021-11-03,ABC,Beverages,199145.59601,837.0,2,0,0,3,0,0
2021-11-03,ABC,Grocery,397946.965024,2155.128,2,0,0,3,0,0
2021-11-03,ABC,Household,209100.513996,819.0,2,0,0,3,0,0
2021-11-03,XYZ,Beverages,228560.219,841.0,2,0,0,3,0,0
2021-11-03,XYZ,Grocery,574684.181,3288.1,2,0,0,3,0,0
2021-11-03,XYZ,Household,249315.458,1108.0,2,0,0,3,0,0
2021-11-04,ABC,Beverages,255926.913,1256.0,3,0,1,4,0,0
2021-11-04,ABC,Grocery,522916.128,2648.306,3,0,1,4,0,0
2021-11-04,ABC,Household,243260.745014,921.0,3,0,1,4,0,0
2021-11-04,XYZ,Beverages,237710.29,914.0,3,0,1,4,0,0
2021-11-04,XYZ,Grocery,510482.668,3268.081,3,0,1,4,0,0
2021-11-04,XYZ,Household,228511.923005,948.0,3,0,1,4,0,0
2021-11-05,ABC,Beverages,255695.365,991.0,4,0,0,5,0,0
2021-11-05,ABC,Grocery,479383.66397,2654.582,4,0,0,5,0,0
2021-11-05,ABC,Household,265589.69202,986.0,4,0,0,5,0,0
2021-11-05,XYZ,Beverages,217746.0,910.0,4,0,0,5,0,0
2021-11-05,XYZ,Grocery,557072.729,3287.828,4,0,0,5,0,0
2021-11-05,XYZ,Household,222311.011,963.0,4,0,0,5,0,0
2021-11-06,ABC,Beverages,241963.0,884.0,5,1,0,6,0,0
2021-11-06,ABC,Grocery,548660.9,2614.006,5,1,0,6,0,0
2021-11-06,ABC,Household,284326.0,1152.0,5,1,0,6,0,0
2021-11-06,XYZ,Beverages,262426.08,1086.0,5,1,0,6,0,0
2021-11-06,XYZ,Grocery,622856.562004,3625.864,5,1,0,6,0,0
2021-11-06,XYZ,Household,305140.577002,1315.0,5,1,0,6,0,0
2021-11-07,ABC,Beverages,218668.693,937.0,6,1,0,7,0,0
2021-11-07,ABC,Grocery,505512.74297,2646.82,6,1,0,7,0,0
2021-11-07,ABC,Household,233781.880016,998.0,6,1,0,7,0,0
2021-11-07,XYZ,Beverages,289993.0,1043.0,6,1,0,7,0,0
2021-11-07,XYZ,Grocery,661655.00001,3608.962,6,1,0,7,0,0
2021-11-07,XYZ,Household,283841.0,1252.0,6,1,0,7,0,0
2021-11-08,ABC,Beverages,246984.682,974.0,0,0,0,8,0,0
2021-11-08,ABC,Grocery,438841.43801,2326.638,0,0,0,8,0,0
2021-11-08,ABC,Household,240294.89201,883.0,0,0,0,8,0,0
2021-11-08,XYZ,Beverages,201386.081,677.0,0,0,0,8,0,0
2021-11-08,XYZ,Grocery,498037.791,2879.414,0,0,0,8,0,0
2021-11-08,XYZ,Household,237517.072,944.0,0,0,0,8,0,0
2021-11-09,ABC,Beverages,199577.0,815.0,1,0,0,9,0,0
2021-11-09,ABC,Grocery,497413.33899,2489.046,1,0,0,9,0,0
2021-11-09,ABC,Household,229917.0,930.0,1,0,0,9,0,0
2021-11-09,XYZ,Beverages,263813.854,971.0,1,0,0,9,0,0
2021-11-09,XYZ,Grocery,622938.069,3608.112,1,0,0,9,0,0
2021-11-09,XYZ,Household,277746.993,1118.0,1,0,0,9,0,0
2021-11-10,ABC,Beverages,238515.243,924.0,2,0,0,10,0,0
2021-11-10,ABC,Grocery,522461.826,2876.364,2,0,0,10,0,0
2021-11-10,ABC,Household,304131.278,1160.0,2,0,0,10,0,0
2021-11-10,XYZ,Beverages,259906.508,934.0,2,0,0,10,0,0
2021-11-10,XYZ,Grocery,635110.826,3666.634,2,0,0,10,0,0
2021-11-10,XYZ,Household,252174.64699,1082.0,2,0,0,10,0,0
2021-11-11,ABC,Beverages,265286.0,1017.0,3,0,0,11,0,0
2021-11-11,ABC,Grocery,519793.064,2745.732,3,0,0,11,0,0
2021-11-11,ABC,Household,342064.0,1482.0,3,0,0,11,0,0
2021-11-11,XYZ,Beverages,297145.0,1104.0,3,0,0,11,0,0
2021-11-11,XYZ,Grocery,627332.13701,3559.718,3,0,0,11,0,0
2021-11-11,XYZ,Household,259689.0,1120.0,3,0,0,11,0,0
2021-11-12,ABC,Beverages,265109.69,1074.0,4,0,0,12,0,0
2021-11-12,ABC,Grocery,514991.726995,2788.65,4,0,0,12,0,0
2021-11-12,ABC,Household,268012.22496,1036.0,4,0,0,12,0,0
2021-11-12,XYZ,Beverages,243668.897,920.0,4,0,0,12,0,0
2021-11-12,XYZ,Grocery,514545.966,3074.068,4,0,0,12,0,0
2021-11-12,XYZ,Household,229292.71,1000.0,4,0,0,12,0,0
2021-11-13,ABC,Beverages,273187.77701,1273.0,5,1,0,13,0,0
2021-11-13,ABC,Grocery,531031.46198,2732.55,5,1,0,13,0,0
2021-11-13,ABC,Household,279307.127,1125.0,5,1,0,13,0,0
2021-11-13,XYZ,Beverages,258456.263098,1076.0,5,1,0,13,0,0
2021-11-13,XYZ,Grocery,576517.52197,3284.398,5,1,0,13,0,0
2021-11-13,XYZ,Household,239059.75497,1048.0,5,1,0,13,0,0
2021-11-14,ABC,Beverages,225926.22212,921.0,6,1,0,14,0,0
2021-11-14,ABC,Grocery,505466.29089,2602.416,6,1,0,14,0,0
2021-11-14,ABC,Household,255769.42399,993.0,6,1,0,14,0,0
2021-11-14,XYZ,Beverages,296072.895,1220.0,6,1,0,14,0,0
2021-11-14,XYZ,Grocery,735938.785986,4138.387,6,1,0,14,0,0
2021-11-14,XYZ,Household,269886.580994,1158.0,6,1,0,14,0,0
2021-11-15,ABC,Beverages,204426.11697,762.0,0,0,0,15,0,0
2021-11-15,ABC,Grocery,480770.598004,2390.932,0,0,0,15,0,0
2021-11-15,ABC,Household,214588.159992,830.0,0,0,0,15,0,0
2021-11-15,XYZ,Beverages,195180.72799,824.0,0,0,0,15,0,0
2021-11-15,XYZ,Grocery,539271.074006,3131.84,0,0,0,15,0,0
2021-11-15,XYZ,Household,251777.793994,972.0,0,0,0,15,0,0
2021-11-16,ABC,Beverages,212758.096,1023.0,1,0,0,16,0,0
2021-11-16,ABC,Grocery,398716.12803,2106.724,1,0,0,16,0,0
2021-11-16,ABC,Household,207955.66204,778.0,1,0,0,16,0,0
2021-11-16,XYZ,Beverages,230977.082,940.0,1,0,0,16,0,0
2021-11-16,XYZ,Grocery,557822.965022,3199.6,1,0,0,16,0,0
2021-11-16,XYZ,Household,230942.078,966.0,1,0,0,16,0,0
2021-11-17,ABC,Beverages,248992.728998,985.0,2,0,0,17,0,0
2021-11-17,ABC,Grocery,558187.29797,2885.498,2,0,0,17,0,0
2021-11-17,ABC,Household,246364.90516,998.0,2,0,0,17,0,0
2021-11-17,XYZ,Beverages,255851.431,924.0,2,0,0,17,0,0
2021-11-17,XYZ,Grocery,585377.43793,3375.546,2,0,0,17,0,0
2021-11-17,XYZ,Household,230997.124,936.0,2,0,0,17,0,0
2021-11-18,ABC,Beverages,175639.0,756.0,3,0,0,18,0,0
2021-11-18,ABC,Grocery,436620.223,2246.999,3,0,0,18,0,0
2021-11-18,ABC,Household,218632.999,907.0,3,0,0,18,0,0
2021-11-18,XYZ,Beverages,266097.0,1023.0,3,0,0,18,0,0
2021-11-18,XYZ,Grocery,592236.26,3406.606,3,0,0,18,0,0
2021-11-18,XYZ,Household,283519.0,1214.0,3,0,0,18,0,0
2021-11-19,ABC,Beverages,237399.881,880.0,4,0,1,19,0,0
2021-11-19,ABC,Grocery,430174.75,2168.21,4,0,1,19,0,0
2021-11-19,ABC,Household,204087.231018,755.0,4,0,1,19,0,0
2021-11-19,XYZ,Beverages,230181.39896,828.0,4,0,1,19,0,0
2021-11-19,XYZ,Grocery,542765.726,3096.73,4,0,1,19,0,0
2021-11-19,XYZ,Household,223037.599,895.0,4,0,1,19,0,0
2021-11-20,ABC,Beverages,225986.13103,937.0,5,1,0,20,0,0
2021-11-20,ABC,Grocery,434756.16684,2340.141,5,1,0,20,0,0
2021-11-20,ABC,Household,250394.960064,988.0,5,1,0,20,0,0
2021-11-20,XYZ,Beverages,281179.09712,1170.0,5,1,0,20,0,0
2021-11-20,XYZ,Grocery,643345.45997,3669.867,5,1,0,20,0,0
2021-11-20,XYZ,Household,287353.572882,1219.0,5,1,0,20,0,0
2021-11-21,ABC,Beverages,195036.211936,870.0,6,1,0,21,0,0
2021-11-21,ABC,Grocery,444193.117006,2133.776,6,1,0,21,0,0
2021-11-21,ABC,Household,237329.19402,868.0,6,1,0,21,0,0
2021-11-21,XYZ,Beverages,271440.419996,1056.0,6,1,0,21,0,0
2021-11-21,XYZ,Grocery,618052.44805,3464.803,6,1,0,21,0,0
2021-11-21,XYZ,Household,249596.485,1103.0,6,1,0,21,0,0
2021-11-22,ABC,Beverages,248094.88696,946.0,0,0,0,22,0,0
2021-11-22,ABC,Grocery,447480.09202,2262.302,0,0,0,22,0,0
2021-11-22,ABC,Household,230703.89903,914.0,0,0,0,22,0,0
2021-11-22,XYZ,Beverages,187371.38702,722.0,0,0,0,22,0,0
2021-11-22,XYZ,Grocery,443513.481,2500.75,0,0,0,22,0,0
2021-11-22,XYZ,Household,187888.59709,729.0,0,0,0,22,0,0
